age,department,tenure_years,monthly_income,performance_rating,overtime_hours,job_satisfaction,attrition
44,Engineering,2.7,5863,3,0.0,9.0,0
40,Engineering,0.8,3316,1,7.8,7.0,0
43,Marketing,0.3,2434,2,4.1,8.0,0
53,Sales,0.8,5221,1,8.2,10.0,1
47,Finance,0.1,3327,3,1.3,1.0,1
50,HR,4.5,4804,1,2.5,5.0,0
47,Finance,1.0,4350,4,14.0,8.0,0
31,HR,3.4,6567,3,1.7,8.0,0
44,Marketing,2.5,5167,1,2.2,,1
36,Engineering,1.0,4725,5,3.9,2.0,1
37,engineering,1.3,5039,2,0.9,2.0,0
26,Sales,0.3,3975,2,9.8,5.0,1
28,Sales,3.9,4309,3,11.9,6.0,0
35,Sales,1.9,3107,3,2.2,4.0,0
33,Marketing,0.7,3327,4,0.0,7.0,0
46,Finance,1.0,2548,3,9.7,3.0,0
33,Sales,1.4,3805,4,9.4,4.0,0
31,HR,2.2,3967,2,8.3,2.0,1
38,Engineering,2.0,7107,4,9.6,6.0,1
43,HR,8.6,5674,5,1.5,8.0,0
59,HR,0.7,3170,1,4.3,10.0,0
41,Engineering,3.3,5372,1,0.0,3.0,1
35,Marketing,2.3,4314,1,0.0,7.0,0
34,Engineering,1.2,5622,2,8.9,1.0,0
39,HR,4.4,4319,2,2.3,6.0,0
57,HR,5.9,4621,4,14.1,9.0,0
36,Sales,8.5,5223,2,5.3,1.0,0
31,Sales,1.2,2946,5,2.4,4.0,1
44,Engineering,7.3,7603,4,8.2,2.0,1
51,Finance,1.6,3681,5,12.2,6.0,0
58,Finance,0.2,2200,5,6.9,9.0,0
32,Finance,6.7,5345,1,0.1,5.0,0
55,Sales,5.5,5528,4,6.5,8.0,0
54,Marketing,0.9,3813,5,10.5,4.0,0
36,Finance,2.8,3586,1,3.0,9.0,0
34,Marketing,0.2,2855,1,1.9,3.0,0
32,Engineering,2.1,3403,2,9.1,6.0,1
34,Marketing,4.5,3764,2,5.6,4.0,0
55,Sales,12.9,9916,5,0.6,6.0,0
33,Sales,0.1,2200,1,3.5,3.0,1
40,Sales,6.2,5476,5,2.0,6.0,0
57,Sales,4.0,5097,2,6.2,3.0,0
48,Sales,0.2,3043,3,5.4,8.0,1
26,Sales,3.6,4013,3,9.6,3.0,0
24,Engineering,2.1,4985,2,7.8,4.0,1
30,Sales,1.4,3856,5,0.0,1.0,1
54,HR,7.0,5726,2,6.6,5.0,0
30,Sales,3.8,3130,5,8.6,1.0,0
33,HR,5.5,5067,4,6.8,5.0,0
42,Sales,20.0,10530,2,9.1,9.0,0
40,Engineering,8.2,6987,5,2.8,7.0,0
24,Marketing,8.2,6484,2,1.2,6.0,0
29,Engineering,10.7,9057,2,8.7,3.0,0
59,Finance,6.6,6447,5,0.7,9.0,0
37,HR,0.7,2833,1,0.0,1.0,0
32,HR,2.6,4872,5,9.1,2.0,0
53,Sales,2.5,5356,1,2.1,1.0,0
39,engineering,2.6,6263,1,3.8,4.0,0
53,Sales,5.3,6671,1,0.0,2.0,0
28,Finance,3.3,4189,4,0.0,2.0,0
39,Marketing,2.3,3763,5,0.4,9.0,0
52,Marketing,6.1,6183,5,3.6,6.0,0
51,Sales,1.8,2790,4,6.5,8.0,0
47,Engineering,2.7,5468,4,0.0,6.0,0
39,Engineering,2.8,4842,5,8.0,8.0,1
53,Sales,3.1,4208,5,0.3,8.0,0
36,HR,0.2,2200,1,0.7,5.0,0
47,Finance,0.8,2519,3,7.7,9.0,1
42,Engineering,0.2,4262,2,4.7,2.0,0
33,marketing,7.6,6840,1,0.0,10.0,0
29,Finance,2.5,4891,4,12.4,5.0,1
42,Sales,4.2,4908,3,1.6,2.0,0
34,Finance,2.8,3950,4,6.0,9.0,1
41,Marketing,2.2,3132,3,5.8,7.0,0
48,Sales,2.0,4462,1,10.6,6.0,1
52,Engineering,2.1,4817,5,3.2,3.0,0
51,HR,3.9,5105,3,9.0,7.0,0
41,HR,5.5,6777,2,2.0,9.0,0
24,Sales,1.0,3671,4,9.5,4.0,0
28,HR,1.4,2212,2,1.9,2.0,0
49,HR,0.6,2465,4,3.6,2.0,1
44,Finance,1.1,2200,3,12.6,8.0,1
53,Finance,0.3,2200,3,6.3,7.0,0
40,Engineering,8.9,8935,1,5.4,3.0,0
38,Finance,12.5,8204,1,14.0,5.0,0
31,Marketing,1.6,2272,5,6.4,2.0,0
24,Marketing,3.9,5148,5,1.7,4.0,0
27,Sales,0.2,4514,3,7.9,9.0,0
47,Sales,2.9,4136,3,0.3,3.0,0
44,HR,8.1,5632,1,9.5,10.0,0
31,Sales,0.7,3276,4,9.8,7.0,1
35,Engineering,0.4,4616,4,2.7,1.0,1
46,Marketing,2.7,4656,3,2.5,4.0,1
36,Engineering,4.8,7184,2,5.7,4.0,0
36,Sales,0.5,4591,1,5.1,6.0,1
32,Engineering,1.8,5987,5,1.1,10.0,0
46,HR,0.3,4346,2,7.3,3.0,1
55,Sales,15.0,9895,4,0.0,2.0,0
31,Engineering,0.4,2982,1,3.3,8.0,0
33,Sales,1.2,3662,4,3.4,7.0,1
40,HR,0.6,3523,1,3.9,4.0,0
29,Finance,7.7,5735,4,6.2,7.0,0
41,Engineering,2.4,5980,2,0.1,5.0,0
55,Engineering,1.9,4636,3,7.4,9.0,0
45,Engineering,5.1,5407,3,4.3,10.0,0
28,Sales,4.4,6360,3,2.4,4.0,0
29,Sales,0.4,4059,2,0.0,8.0,1
24,Engineering,2.5,5397,2,0.3,6.0,0
58,Engineering,5.4,7194,2,6.4,8.0,0
35,Sales,1.6,4896,4,1.1,4.0,0
32,Finance,2.1,4147,5,5.3,4.0,0
54,Engineering,0.2,2200,2,9.2,1.0,0
33,Engineering,0.0,3592,1,9.1,9.0,1
30,Sales,0.2,2969,1,11.2,6.0,1
31,Finance,0.7,2394,1,3.8,4.0,1
37,Sales,0.2,3559,4,0.7,6.0,0
24,Sales,3.6,5813,5,9.1,10.0,0
46,Sales,4.7,4744,2,6.2,9.0,0
38,Sales,0.5,2479,3,9.5,9.0,0
58,marketing,0.1,4865,3,5.0,4.0,0
51,Sales,11.5,7494,3,9.8,7.0,0
36,Engineering,5.9,5450,5,8.4,6.0,0
48,Finance,0.3,3334,2,7.9,9.0,0
52,HR,3.4,4743,4,7.0,8.0,0
29,Sales,0.2,2745,3,6.6,6.0,0
28,Engineering,1.8,5631,5,5.9,5.0,0
27,Marketing,8.6,6001,2,5.9,,1
23,Engineering,2.8,4489,5,9.0,6.0,0
34,Finance,1.4,3721,5,3.0,2.0,1
52,Sales,0.1,4034,3,11.9,1.0,1
51,Finance,0.7,2710,5,4.6,,0
36,Finance,0.1,3338,4,8.9,3.0,0
40,Finance,0.2,2996,2,4.6,9.0,1
51,HR,0.9,5902,5,4.0,2.0,0
57,Engineering,0.1,3602,1,13.1,2.0,0
32,Sales,0.6,4786,1,3.8,1.0,0
46,Engineering,6.6,6793,5,0.0,3.0,0
44,Finance,2.8,4006,4,2.1,10.0,0
45,Sales,3.4,5309,2,3.7,6.0,0
52,Sales,0.6,4345,5,13.6,1.0,0
51,Engineering,1.4,5900,4,5.8,,0
37,Finance,4.0,4896,2,8.7,10.0,0
50,Marketing,1.8,3180,5,1.0,2.0,0
24,Sales,7.0,5616,5,6.4,6.0,0
35,Sales,0.5,3959,4,7.7,10.0,1
30,Finance,0.7,3803,4,12.2,4.0,1
31,HR,2.0,5058,5,2.2,4.0,0
56,Finance,7.8,6497,5,7.4,7.0,0
38,Marketing,2.8,5074,3,6.2,10.0,0
24,Marketing,0.0,4365,4,0.9,10.0,0
40,Finance,4.3,4868,5,4.9,8.0,1
24,Finance,0.4,2200,1,3.9,3.0,0
27,Engineering,0.6,3379,3,0.0,5.0,0
36,HR,7.5,4706,5,7.4,2.0,0
38,Sales,2.4,5692,2,7.2,4.0,0
30,Finance,6.0,4637,4,3.2,10.0,0
46,Finance,0.4,4269,3,0.0,1.0,1
40,Finance,1.6,4167,3,10.9,2.0,1
27,Engineering,0.1,5784,2,6.1,1.0,0
53,Engineering,2.2,5983,4,9.1,2.0,1
27,Engineering,3.7,5588,4,10.6,,0
35,Sales,1.1,3560,4,2.9,4.0,0
28,Finance,10.2,7157,5,8.2,8.0,1
57,Engineering,0.9,4718,2,4.0,6.0,0
32,Engineering,2.0,4522,1,4.7,10.0,0
54,Engineering,3.7,5651,3,4.7,4.0,1
58,Finance,0.1,4488,1,5.0,4.0,0
30,Engineering,0.9,3028,4,9.5,1.0,0
22,Finance,1.8,3953,2,5.5,10.0,0
22,Marketing,2.8,3304,4,4.4,9.0,0
28,Engineering,10.3,8488,3,3.9,3.0,0
37,Sales,9.3,7776,3,6.4,3.0,1
28,Finance,3.2,4228,5,1.4,10.0,0
58,Marketing,0.8,4016,4,3.0,6.0,0
40,Sales,1.7,2549,5,4.8,10.0,0
54,Finance,1.2,4476,2,2.7,4.0,1
22,Finance,1.8,3177,5,4.5,2.0,1
27,Marketing,0.0,3560,2,2.6,6.0,0
39,Sales,0.7,3744,4,13.0,9.0,0
28,Sales,5.6,3213,1,10.3,2.0,1
28,Marketing,6.1,4760,4,6.8,8.0,0
22,Sales,0.2,3578,5,4.8,1.0,0
32,Sales,3.4,6059,2,13.8,8.0,0
51,Engineering,0.9,4819,1,6.3,9.0,1
52,Engineering,5.1,6472,2,4.7,9.0,0
41,Finance,7.2,4609,1,6.2,,0
28,Sales,4.6,6428,1,6.2,6.0,1
39,Marketing,1.2,5106,3,10.6,2.0,0
45,Sales,0.2,3406,5,4.9,6.0,1
27,Finance,3.1,4042,3,13.4,10.0,0
37,sales,5.6,4083,2,1.5,4.0,1
53,Engineering,1.6,5635,2,7.8,3.0,0
37,Sales,7.7,8812,1,1.0,9.0,1
39,Engineering,7.9,8005,2,12.3,6.0,0
53,Engineering,1.1,5777,2,3.7,10.0,0
47,Finance,9.8,7408,3,4.8,1.0,0
28,Engineering,0.0,3313,2,8.7,2.0,1
45,Sales,3.9,6063,3,10.0,7.0,0
57,Marketing,1.5,2489,4,0.6,8.0,1
30,Marketing,0.5,3010,1,3.6,10.0,0
55,Marketing,3.8,4771,1,0.0,3.0,0
44,Sales,7.9,7255,2,5.5,3.0,0
47,Engineering,0.6,4814,2,4.6,2.0,0
34,Sales,2.9,4808,1,3.6,8.0,1
23,Sales,3.7,4095,5,2.3,2.0,0
23,Sales,0.0,2200,1,3.5,10.0,0
47,Engineering,1.3,4775,5,2.0,6.0,0
59,Sales,0.5,2861,1,7.1,7.0,0
44,Sales,8.5,5523,4,11.1,3.0,0
35,Marketing,2.4,2821,2,0.0,8.0,1
51,Engineering,0.4,3919,3,4.5,3.0,0
57,Sales,1.5,2233,3,3.3,2.0,0
30,HR,10.7,6067,2,7.0,1.0,0
25,Sales,2.1,2668,1,1.2,2.0,0
58,Engineering,3.1,5604,5,4.4,4.0,0
23,Engineering,9.9,8527,4,0.8,2.0,0
55,Engineering,3.1,7246,4,7.8,8.0,0
27,HR,2.8,2772,4,5.4,4.0,0
26,Engineering,3.8,5108,3,4.4,1.0,0
32,Engineering,2.7,6101,5,6.5,9.0,0
33,Finance,9.1,6445,1,4.0,5.0,0
34,Marketing,2.2,3586,4,0.0,7.0,0
23,Sales,8.7,8318,2,7.4,7.0,0
54,Sales,4.1,4635,4,6.2,,0
53,Sales,1.9,3019,2,4.4,1.0,0
47,Marketing,8.4,5175,3,8.9,4.0,0
56,Marketing,0.2,3382,2,9.9,3.0,1
57,Sales,5.4,5735,3,0.6,6.0,0
59,Marketing,3.8,3285,1,1.9,10.0,0
36,Sales,2.1,3253,4,11.2,1.0,1
45,Engineering,0.1,4721,3,10.7,10.0,0
50,Engineering,3.6,6160,5,2.0,5.0,0
47,Marketing,3.8,3941,3,0.3,9.0,0
52,Sales,2.4,4820,1,2.4,10.0,0
47,Engineering,1.0,5115,2,3.0,2.0,1
36,HR,2.6,2435,3,0.0,3.0,1
43,Sales,3.6,4459,2,5.1,8.0,0
29,Sales,4.9,5634,2,0.0,5.0,1
58,Engineering,7.1,6524,2,0.2,5.0,0
56,Marketing,1.7,2200,4,8.7,4.0,1
45,Finance,7.7,5825,2,2.3,2.0,0
51,Finance,1.0,4077,1,4.7,9.0,0
34,finance,7.3,7342,4,7.5,5.0,0
36,Finance,2.1,2200,4,8.3,1.0,0
41,Finance,2.1,6192,3,3.7,10.0,0
32,HR,4.0,3586,4,5.2,2.0,0
22,Finance,0.3,3981,1,1.7,9.0,0
37,Engineering,7.0,8111,1,12.0,8.0,1
49,sales,2.1,5025,4,7.6,4.0,0
31,Finance,0.9,3495,4,0.6,4.0,1
48,Sales,3.5,3655,3,5.0,1.0,0
44,Marketing,8.4,6924,3,7.9,4.0,0
37,HR,6.7,5036,3,6.9,10.0,0
57,Sales,0.7,3654,2,7.7,4.0,1
